CustomerID,Recency,Frequency,Monetary
CUS-00001,0,1,5.0
CUS-00002,365,2,80.0
CUS-00003,7,75,18000.0
CUS-00004,45,1,146.41
CUS-00005,1,24,4987.69
CUS-00006,38,6,698.09
CUS-00007,19,3,103.36
CUS-00008,306,6,550.96
CUS-00009,25,21,3535.8
CUS-00010,153,5,617.06
CUS-00011,196,3,469.7
CUS-00012,28,15,583.08
CUS-00013,292,2,298.8
CUS-00014,74,11,1147.57
CUS-00015,36,4,389.19
CUS-00016,8,6,174.51
CUS-00017,74,4,153.86
CUS-00018,15,17,6389.81
CUS-00019,17,8,1336.8
CUS-00020,143,1,191.62
CUS-00021,151,2,167.34
CUS-00022,52,8,600.42
CUS-00023,73,18,1350.4
CUS-00024,17,4,1266.24
CUS-00025,42,5,174.91
CUS-00026,29,11,1323.12
CUS-00027,29,8,507.53
CUS-00028,12,13,2497.32
CUS-00029,14,11,989.27
CUS-00030,187,5,39.51
CUS-00031,351,1,111.12
CUS-00032,12,24,1441.21
CUS-00033,57,3,420.06
CUS-00034,79,10,300.25
CUS-00035,62,13,1017.87
CUS-00036,38,21,1264.07
CUS-00037,1,9,1421.51
CUS-00038,101,7,906.11
CUS-00039,55,15,975.39
CUS-00040,197,1,91.17
CUS-00041,160,4,1060.72
CUS-00042,8,8,668.64
CUS-00043,277,7,281.95
CUS-00044,31,9,297.57
CUS-00045,34,17,981.7
CUS-00046,74,2,173.1
CUS-00047,147,7,531.3
CUS-00048,45,6,725.13
CUS-00049,105,8,116.18
CUS-00050,10,11,5018.58
CUS-00051,3,9,1657.8
CUS-00052,7,16,3485.06
CUS-00053,115,4,329.99
CUS-00054,192,4,145.11
CUS-00055,176,1,576.63
CUS-00056,21,1,77.05
CUS-00057,104,4,685.0
CUS-00058,71,5,237.01
CUS-00059,44,12,1110.42
CUS-00060,40,19,4029.48
CUS-00061,282,3,138.99
CUS-00062,178,11,483.72
CUS-00063,40,3,207.96
CUS-00064,220,11,61.23
CUS-00065,47,2,142.74
CUS-00066,33,2,212.5
CUS-00067,176,2,294.19
CUS-00068,307,6,802.71
CUS-00069,50,17,3333.25
CUS-00070,82,5,435.19
CUS-00071,20,24,4231.6
CUS-00072,80,10,357.58
CUS-00073,8,5,1019.0
CUS-00074,44,5,711.13
CUS-00075,29,9,5919.55
CUS-00076,50,7,876.61
CUS-00077,161,7,270.74
CUS-00078,130,3,239.86
CUS-00079,22,11,113.31
CUS-00080,197,5,505.97
CUS-00081,180,2,81.21
CUS-00082,36,7,426.06
CUS-00083,149,3,194.88
CUS-00084,35,16,1469.94
CUS-00085,23,4,439.54
CUS-00086,25,22,1507.96
CUS-00087,350,2,163.11
CUS-00088,38,2,314.22
CUS-00089,13,7,2513.99
CUS-00090,80,7,515.47
CUS-00091,8,7,2180.31
CUS-00092,97,1,95.64
CUS-00093,59,5,298.1
CUS-00094,72,7,769.3
CUS-00095,79,5,201.8
CUS-00096,45,6,373.39
CUS-00097,56,11,692.82
CUS-00098,10,21,3348.29
CUS-00099,63,18,2472.89
CUS-00100,17,9,1014.19
CUS-00101,12,6,339.07
CUS-00102,90,3,292.89
CUS-00103,41,7,312.83
CUS-00104,28,6,1101.16
CUS-00105,290,1,78.74
CUS-00106,61,1,173.47
CUS-00107,164,9,506.54
CUS-00108,32,3,801.92
CUS-00109,59,11,4771.48
CUS-00110,12,13,556.02
CUS-00111,133,6,1428.67
CUS-00112,16,12,3005.68
CUS-00113,62,4,206.27
CUS-00114,126,1,137.32
CUS-00115,16,12,1537.47
CUS-00116,21,10,988.31
CUS-00117,65,7,506.26
CUS-00118,64,5,446.45
CUS-00119,36,5,771.52
CUS-00120,123,1,112.36
CUS-00121,175,2,303.5
CUS-00122,88,1,265.57
CUS-00123,38,11,5038.41
CUS-00124,22,8,392.94
CUS-00125,5,14,1602.13
CUS-00126,139,9,126.08
CUS-00127,59,4,955.46
CUS-00128,10,12,748.19
CUS-00129,8,27,1515.27
CUS-00130,74,2,64.11
CUS-00131,8,15,796.15
CUS-00132,37,7,1051.81
CUS-00133,39,2,439.33
CUS-00134,64,2,343.86
CUS-00135,38,1,105.51
CUS-00136,18,19,2936.53
CUS-00137,70,6,420.13
CUS-00138,70,2,1122.25
CUS-00139,39,3,174.38
CUS-00140,9,17,4601.85
CUS-00141,208,5,770.95
CUS-00142,137,4,261.82
CUS-00143,95,19,849.57
CUS-00144,121,2,231.37
CUS-00145,18,1,324.77
CUS-00146,70,2,248.13
CUS-00147,107,14,500.4
CUS-00148,72,4,847.62
CUS-00149,72,6,550.45
CUS-00150,11,18,8334.98
CUS-00151,60,9,517.13
CUS-00152,37,13,550.42
CUS-00153,22,20,1824.02
CUS-00154,75,1,64.21
CUS-00155,15,12,2315.72
CUS-00156,23,3,104.41
CUS-00157,71,4,524.0
CUS-00158,151,2,156.78
CUS-00159,66,6,548.89
CUS-00160,215,7,233.39
CUS-00161,6,12,4599.75
CUS-00162,15,7,1583.86
CUS-00163,24,3,931.74
CUS-00164,18,18,2765.56
CUS-00165,247,2,224.71
CUS-00166,117,2,662.27
CUS-00167,38,4,1305.56
CUS-00168,307,2,220.92
CUS-00169,28,4,392.14
CUS-00170,124,11,1163.91
CUS-00171,28,6,968.71
CUS-00172,53,5,1209.91
CUS-00173,60,5,754.82
CUS-00174,23,9,1607.5
CUS-00175,11,15,5079.21
CUS-00176,26,19,2036.2
CUS-00177,28,7,689.44
CUS-00178,5,14,2440.71
CUS-00179,2,16,1528.35
CUS-00180,306,1,173.78
CUS-00181,38,8,487.42
CUS-00182,56,10,1351.85
CUS-00183,9,8,433.49
CUS-00184,43,2,305.74
CUS-00185,449,8,191.34
CUS-00186,153,1,154.38
CUS-00187,34,11,1053.42
CUS-00188,9,13,595.55
CUS-00189,268,1,321.2
CUS-00190,63,5,388.39
CUS-00191,23,6,744.76
CUS-00192,98,7,815.65
CUS-00193,11,17,1714.31
CUS-00194,84,7,1773.51
CUS-00195,2,17,2853.81
CUS-00196,19,26,2697.17
CUS-00197,132,1,279.98
CUS-00198,49,17,1328.37
CUS-00199,34,31,1986.37
CUS-00200,28,3,938.57
CUS-00201,19,3,146.04
CUS-00202,37,9,2022.95
CUS-00203,47,9,1218.56
CUS-00204,6,19,1388.82
CUS-00205,5,11,6945.96
CUS-00206,86,4,465.11
CUS-00207,14,8,1441.9
CUS-00208,205,3,428.71
CUS-00209,3,21,1705.61
CUS-00210,46,3,473.95
CUS-00211,315,4,300.18
CUS-00212,49,4,181.96
CUS-00213,17,11,1025.18
CUS-00214,123,1,99.95
CUS-00215,61,3,145.19
CUS-00216,124,6,159.4
CUS-00217,23,9,898.96
CUS-00218,8,22,1897.13
CUS-00219,26,17,1538.74
CUS-00220,90,4,356.97
CUS-00221,36,12,953.35
CUS-00222,36,6,408.61
CUS-00223,34,1,122.48
CUS-00224,12,10,1305.29
CUS-00225,74,8,819.98
CUS-00226,18,20,1817.1
CUS-00227,38,15,1942.03
CUS-00228,107,1,176.21
CUS-00229,43,1,90.46
CUS-00230,5,25,1891.08
CUS-00231,27,12,2278.49
CUS-00232,58,10,819.64
CUS-00233,22,8,622.92
CUS-00234,452,7,511.05
CUS-00235,17,9,609.3
CUS-00236,73,4,338.98
CUS-00237,49,3,497.39
CUS-00238,111,3,274.45
CUS-00239,8,7,1636.3
CUS-00240,16,17,1625.32
CUS-00241,79,10,1016.87
CUS-00242,231,6,410.25
CUS-00243,46,4,1880.18
CUS-00244,378,2,212.81
CUS-00245,38,1,246.4
CUS-00246,66,13,1210.35
CUS-00247,164,4,144.63
CUS-00248,43,6,298.89
CUS-00249,226,6,710.19
CUS-00250,19,4,198.8
CUS-00251,96,1,123.34
CUS-00252,76,6,414.88
CUS-00253,106,2,479.64
CUS-00254,108,1,1082.93
CUS-00255,93,6,638.81
CUS-00256,91,3,128.59
CUS-00257,102,5,227.84
CUS-00258,6,22,2965.99
CUS-00259,3,14,1775.18
CUS-00260,65,2,208.38
CUS-00261,15,13,3403.48
CUS-00262,47,4,480.6
CUS-00263,30,2,214.08
CUS-00264,9,13,1580.25
CUS-00265,32,4,525.88
CUS-00266,33,18,1116.66
CUS-00267,43,9,282.12
CUS-00268,25,18,4213.01
CUS-00269,21,6,1784.25
CUS-00270,14,17,4216.81
CUS-00271,16,18,1913.74
CUS-00272,14,21,549.52
CUS-00273,1,16,1769.95
CUS-00274,38,6,359.54
CUS-00275,211,1,125.23
CUS-00276,89,7,772.64
CUS-00277,54,4,825.49
CUS-00278,77,11,1109.79
CUS-00279,4,11,913.9
CUS-00280,6,4,392.78
CUS-00281,18,24,2360.23
CUS-00282,0,22,2114.05
CUS-00283,4,9,608.24
CUS-00284,62,7,421.96
CUS-00285,463,2,206.61
CUS-00286,50,9,381.54
CUS-00287,3,14,3659.53
CUS-00288,6,5,160.33
CUS-00289,129,5,503.29
CUS-00290,26,33,9122.76
CUS-00291,18,19,1580.73
CUS-00292,11,9,1799.21
CUS-00293,52,4,2067.61
CUS-00294,4,13,914.55
CUS-00295,24,17,478.96
